GDLCODE,X1est,X2est,X3est,X4est,X5est,X6est,X7est,X8est
MDGr112,22834.5004625758,27053.0614046981,459286.213288624,93063.6523021074,36654.9934928935,381255.75543146,146190.728558015,63917.0950596258
MDGr113,14034.1554043064,16474.3375416785,286920.47586149,58484.5849132633,23280.388320758,240914.098738721,92026.8949682962,40325.0642514865
MDGr114,25893.5940119992,30677.3073465308,520815.892674999,105531.208529569,41565.5915737248,432331.846368172,165775.61570938,72479.9437856244
MDGr115,5901.24030618851,6976.77010328756,131693.085190752,27181.0736693048,11332.2286692396,118661.7048938,43146.9119451142,19097.9852223128
MDGr116,4242.98404265094,5072.93737409151,96572.4902489968,19748.334484131,8243.3152185076,86680.5326313798,31211.6374585968,13869.7685416455
MDGr117,27150.8958872719,32565.1179387459,617891.288970592,126377.876288702,53003.8599834314,556132.723666459,199809.361938244,88914.8753265536
MDGr118,15012.9995924711,18388.9269925242,347236.814016015,70366.1864667543,29717.8590795776,311518.84216401,111121.689675122,49430.6820135257
MDGr119,12397.0211501932,14869.1394022996,282127.389449404,57703.7756607508,24201.4103690964,253928.605753289,91232.3812900861,40598.276924881
MDGr120,12253.5929377147,14617.8737714716,277745.643191662,57089.6069277692,23793.554099774,249895.51149987,90181.5388048434,40093.6787668957
MDGr121,16415.5317737308,20424.5520031431,312611.060952019,57903.3249696205,20805.3750185974,230163.30559941,91333.4550648135,38579.3946186657
MDGr122,17588.7431487424,20871.4012367805,338371.293723106,67155.8354726995,25185.7872950078,265525.04810004,105868.112682516,45227.7783411067
MDVr101,8086.42029037018,14859.5301561935,86772.9007447717,14228.5995505158,3678.19144306287,31919.5667936321,14806.7327885907,6018.0582328631
MDVr102,1654.57950010434,2880.44001755257,29049.6008802543,4352.72134703641,1275.83306878775,13534.4816074006,5769.73190782981,2194.61167103421
MDVr103,1573.24999602015,2714.64865874787,27395.7073996435,4122.51799092755,1217.46578070367,12827.3279991838,5452.90699988106,2087.17517489237
MDVr104,939.582137693835,1565.70179397698,16019.5521884212,2449.73848643931,723.350285254671,7601.18074590769,3259.1406249558,1267.75373735054
MDVr105,1484.84829166696,2584.95674522885,26069.614810248,3906.20750217307,1144.95468638542,12146.0781377259,5177.85731430688,1969.48251226492
MDVr106,1891.21063473028,3312.2220868578,32677.7886233296,4923.0636898023,1430.97675939534,15000.297207852,6447.04547322825,2460.39552480446
MEXr101,78042.0050902584,131371.1536117,623305.012704426,102052.023821008,26333.9475010862,210204.38866071,95445.4076615786,48097.060949233
MEXr102,216917.067070241,363142.514960262,1608806.74001862,269459.985765589,66492.1877507912,525308.446700432,239940.838079287,132930.219654773
MEXr103,42691.3212623067,71550.7697277777,329707.922006304,54658.3802591531,13874.9835567337,111084.734225429,50562.6639480165,26554.2250142794
MEXr104,38588.3382141895,70378.0597439458,437691.097385554,70098.0004049558,19027.9674502805,162674.963168674,76035.2972357651,30913.2763966353
MEXr105,178760.112966174,300784.343746697,1418090.94584247,234757.224382688,59482.0734824701,477921.952974323,218725.313818291,110410.032786885
MEXr106,39191.2043821446,66749.4761648271,348843.627044378,57196.4240807027,14891.6784962281,119935.607937402,55746.5639893567,26157.4179049611
MEXr107,150766.530326775,252009.528594661,2495519.36526436,380411.579985214,114496.709163609,1207411.24823596,513881.930122488,199742.108306934
MEXr108,193253.936429285,330374.274651322,1755424.33608081,290780.435279931,77387.0680875455,620692.443149692,291637.3507368,132755.155584619
MEXr109,806297.780493069,1314398.88733818,4139748.46034312,738892.221926473,166594.006217701,1067997.07410486,488604.072936595,381497.496640001
MEXr110,77228.5874429227,140850.795668624,875970.999316042,140290.300240437,38081.5322996914,325568.765053129,152172.881058704,61868.13892045
MEXr111,210031.405833983,392990.953558636,2840139.34000595,435330.618076399,122611.728796062,1129407.50521032,509018.511740484,195042.936778172
MEXr112,103101.984577761,180300.28129722,1697816.74509834,255604.655198338,75533.4862501756,789376.621038347,338344.832358431,130368.394181387
MEXr113,105177.68140111,197379.840202378,1408671.67792804,216909.450577578,60590.1484984615,554270.503089924,252106.201370481,96590.4969320268
MEXr114,432348.665762074,736365.401756534,3848365.44551189,630978.252072292,164281.691014714,1323102.99942513,614983.717433272,288562.827024099
MEXr115,866446.260646677,1483656.08111451,7931046.33053942,1312122.70530128,350044.086969853,2808168.01920795,1317346.27110011,600161.245120198
MEXr116,160753.897112576,296600.550964021,2268143.47188621,349462.444705278,100548.727514723,945848.475392578,423339.35750928,160250.07491533
MEXr117,91357.2027197524,159738.676275636,921338.403144805,153175.952834267,40816.0366080982,337347.040369462,164003.755377455,69768.9326705249
MEXr118,60100.3902891064,105085.931953073,606113.102950477,100768.568587694,26851.3007970064,221927.644296141,107891.763469385,45898.2976571188
MEXr119,322065.641640967,540916.886673976,2438422.818998,402490.778528308,99233.7824760793,792289.343172151,358992.332731047,197755.415779472
MEXr120,116601.673707199,202666.689931168,1925076.92821941,290621.126522342,86544.7655743136,910293.187330547,388486.422384511,148556.20633051
MEXr121,211271.589667046,388677.791766318,2988250.90789861,458167.626652875,132380.892090386,1255834.88530907,555357.799875136,211425.506740568
MEXr122,114644.022510202,195221.352204062,1028123.91250019,168240.356824547,43880.5798204559,352639.109902696,164064.729883815,76672.9363540277
MEXr123,74605.373987,129967.019707736,723230.464135971,119605.666686755,32370.724584612,261555.125732602,123851.198933407,54386.4262319179
MEXr124,104291.194990535,193735.853874102,1337372.02299704,207938.664565728,57977.7262328616,518702.58387812,239365.118735612,93394.8347260025
MEXr125,183535.54582446,307606.070457759,1417457.26388431,234983.489808311,59650.3599582652,477567.728662226,217375.472382757,114160.069021906
MEXr126,174477.565907517,292424.871654988,1347501.88073652,223386.413493009,56706.451953343,453998.458329492,206647.399766446,108525.958158683
MEXr127,107444.979253189,192035.557425256,1151322.28446788,189273.132695954,50545.9346670159,421465.727060451,203853.767495501,84666.6169347541
MEXr128,197407.073397639,334016.996076954,1664759.15946288,273095.503182234,69966.6633428931,561613.538655199,258006.538727128,126280.527155073
MEXr129,55621.7682741575,101224.564324611,624586.237126022,100748.302545737,27185.7491340149,231465.569352053,108914.523742093,44388.2855013118
MEXr130,281858.748640803,520631.542408247,3996322.07803056,612239.169212415,175552.971651088,1663864.63017179,738967.23934415,281083.620540943
MEXr131,95773.2780197062,171174.818579644,1026254.64686246,168712.474843838,45055.1518300595,375682.088954753,181709.221644544,75469.3192649995
MEXr132,64522.1399494725,118752.733388948,795840.514642378,124192.099482695,34316.0913270331,303079.689530221,139850.037808306,54784.6938709464
