"GDLcode","X1","X2","X3","X4","X5","X6"
"GRCr106",190476.215202176,457311.906440746,891307.616936066,268474.178260418,32824.3492521853,28972.8110907708
"GRCr104",65471.9689004372,130143.600370825,328565.249796894,77462.5918535959,10080.0121409276,0
"GRCr103",19659.5132936604,39078.7062699434,98659.5180303755,23259.9825525789,3026.76299510982,0
"GRCr113",53564.639873965,137328.348291581,252901.240770249,89224.5034512275,14262.8296679153,0
"GRCr112",51048.1097673004,130876.500136017,241019.641493027,85032.6307957679,13592.7450682616,0
"GRCr109",70326.3466748185,180301.800832756,332040.323145063,117145.067648433,18726.0234764918,0
"GRCr102",31448.0752303336,62511.7253069328,157819.367085157,37207.5173094763,4841.72059362722,0
"GTMr105",18585.6722505657,85312.1931243143,547760.096778942,598624.476198464,453113.90701893,63091.5085046427
"GTMr101",63607.8613290486,207831.738083406,1101948.82516675,1144950.68829078,691681.778894446,104135.549596782
"GTMr102",3091.32643149307,38166.1042392468,300144.220275953,403024.757485954,631341.989710217,164521.679956885
"GTMr107",12648.6109053204,65788.3142982675,471413.189931229,738706.435802551,849169.529480862,192749.997589292
"GTMr103",14296.3329847673,64508.1832219482,353111.683362181,424493.103786889,334584.215544685,53494.1303795694
"GTMr108",6501.25609729806,30072.5919264989,196625.231478468,241972.85377232,215113.619481638,37360.5666799111
"GTMr106",31253.5931217126,142918.570311751,919837.018955903,1222349.36427802,1333567.89131737,226222.357803097
"GTMr104",13683.0978339655,55940.1340561909,365487.643016483,419294.499521231,279649.185540205,55801.5412340485
"HUNr107",182777.578876562,357152.348724165,553116.341069899,126568.128931743,40252.3523044667,0
"HUNr104",155393.894640111,329780.271214183,336488.907117745,78447.4110279614,0,0
"HUNr106",160430.063945149,379046.797067742,652211.928342644,294793.985383622,21239.0981596142,0
"HUNr105",188001.119791237,340496.966232264,455143.725220794,195042.365588292,0,0
"HUNr102",104533.782744676,243191.193567273,437433.072743717,206460.082825072,58689.9217147452,0
"HUNr101",467679.536195349,709361.719305056,1322770.23221792,376141.316454658,91644.1747399082,0
"HUNr103",92565.9139415073,180992.995427735,448316.610772051,207626.026230185,52491.3793352698,0
"IRLr101",47194.348496897,116541.914676907,231721.620338116,93554.6424462605,13606.2736249605,0
"IRLr104",106986.247759529,275905.961632941,595925.084869251,272861.433561849,33368.0760671712,0
"IRLr105",48749.1376358185,125718.753389863,271538.020926062,124331.489876264,15204.4301665501,0
