"country","GDLCODE","X1","X2","X3","X4","X5","X6"
"Bolivia","BOLr106",19923.96,42227.96,160832.04,133820.84,93762.96,9309.02
"Bolivia","BOLr107",90762.26,188116.6,777257.64,787606.19,650711.5,86645.55
"Bolivia","BOLr108",12199.75,25195.88,101308.77,120368.95,127224.5,20713.97
"Bolivia","BOLr109",4286.16,7012.02,26257.83,31545.06,29978.58,4563.21
"Cambodia","KHMr101",5072.31,33107.29,230630.81,284021.55,167651.3,9088.14
"Cambodia","KHMr113",7797.54,37996.45,322472.94,439243.35,349114.37,30196.62
"Cambodia","KHMr102",12689.88,87741.97,607008.04,702150.74,341102.27,6532.47
"Cambodia","KHMr103",4467.94,20603.84,142352.62,203686.6,146554.51,5539.29
"Cambodia","KHMr104",3555.64,24949.68,224056.46,293551.07,197340.49,12015.16
"Cambodia","KHMr105",3257.9,24414.49,215923.84,284796.25,151474.27,10551.35
"Cambodia","KHMr114",5637.92,27228.14,216576.35,240564.14,157373.59,2881.85
"Cambodia","KHMr115",2476.13,23559.71,196774.82,271649.15,198405.5,9498.49
"Cambodia","KHMr116",784.5,9199.34,66512.69,82086.95,87642.93,10160.1
"Cambodia","KHMr106",11617.71,102730.91,805120.6,1117106.81,735584.94,32191.62
"Cambodia","KHMr108",11617.71,102730.91,805120.6,1117106.81,735584.94,32191.62
"Cambodia","KHMr109",8538.95,46486.41,388429.72,456400.4,249049.42,7498.55
"Cambodia","KHMr110",2952.76,16201.7,145122.16,167503.08,101361.16,2458.23
"Cambodia","KHMr117",5405.21,40546.71,323162.2,434450.11,322984.82,27827.81
"Cambodia","KHMr107",1602.69,12641.34,105253.03,143567.22,101413.33,7968.46
"Cambodia","KHMr111",4210.81,22532.2,214421.51,235539.22,98326.43,3352.46
"Cambodia","KHMr112",5146.93,34463.22,297933.46,377158.58,203268.5,5404.8
"Indonesia","IDNr101",73980,252160,1548400,1666280,852840,53260
"Indonesia","IDNr102",168080,714680,4424220,4962080,2461340,150280
"Indonesia","IDNr103",82040,295880,1614600,1791640,932780,83680
"Indonesia","IDNr104",105400,420920,2868800,2533340,1072920,109980
"Indonesia","IDNr105",39140,181160,1371860,1035100,409580,29600
"Indonesia","IDNr106",102240,474480,3658280,3058940,1215740,104860
"Indonesia","IDNr109",102240,474480,3658280,3058940,1215740,104860
"Indonesia","IDNr107",30200,95960,744060,611060,209120,14100
"Indonesia","IDNr108",100900,439560,3592320,2522840,865240,51580
"Indonesia","IDNr110",282820,717960,3661940,2889160,1429220,275720
"Indonesia","IDNr111",1065160,4001800,24136760,16621660,6590340,639960
"Indonesia","IDNr115",1065160,4001800,24136760,16621660,6590340,639960
"Indonesia","IDNr112",673800,2639800,15316660,10279720,3096160,200720
"Indonesia","IDNr113",184280,313560,1613020,1010100,280120,26360
"Indonesia","IDNr114",881460,3465120,18227680,11267280,3099500,214900
"Indonesia","IDNr116",97560,312720,1590000,1313780,487480,34200
