"GDLcode","X1","X2","X3","X4","X5","X6"
"IDNr123",40656.9537836661,222253.644841992,1584539.74732752,1447802.60012446,776175.58284422,72006.374078137
"IDNr124",34437.1646518584,213048.846508422,931203.829523138,823105.027075052,342318.468308711,36844.192932819
"IDNr125",39630.8151039282,157722.247524795,1049718.09805888,986397.51778,434479.672585552,59088.1959468405
"IDNr126",172219.925138566,526200.609411294,3092076.24312216,3627876.56469347,1955690.08645583,444344.332178675
"IDNr127",19139.1744635226,105135.284291618,753173.256334854,962858.827582087,480315.66749157,85386.2668363485
"IDNr128",13202.2012797991,55789.8734833129,415593.772031556,393775.01509118,215205.27092902,47278.2451851322
"IDNr129",36285.0488528796,92589.6855000739,619529.407537467,901517.077468253,741132.822639447,152940.99300188
"IDNr130",64412.5137845856,317928.58233095,1966568.81589044,2164084.02432332,1923173.17036002,476252.113310677
"JORr101",34680.8079283259,188328.182638095,840106.083169358,1308657.74326533,928817.457684334,47588.0673145537
"JORr102",13851.3601819382,68552.2836417062,244620.18584173,397881.613456644,308859.320982852,18128.3338951294
"JORr103",5341.40554168845,56664.8178428488,214768.936357021,505971.768466773,307725.029608495,11313.6471831734
"JORr104",1744.81330497135,10692.8153549762,52703.3776339077,88397.2496796372,84749.2585412308,6981.74898527679
"JORr105",11106.035566872,72664.3993080051,368599.259047986,719953.369128341,666081.503609436,41162.7203393603
"JORr106",2296.34889866981,15310.6986043096,79898.9890767557,168330.795636471,209181.287750217,27975.6218335769
"JORr107",436.14895022832,4829.89116041405,29731.7116340676,68851.6312088209,64354.4981289557,4934.41841751341
"JORr108",1032.45875621164,9051.67555654379,53473.7985671994,106727.74160328,117053.026158448,6461.48695831711
"JORr109",1737.04621158471,17236.4011070479,86988.6571786641,155251.058986765,116974.48314702,2905.7282689186
"JORr110",569.006526627193,5832.82684920693,26080.6034403049,49243.9768351803,54900.9761046198,3577.05014406084
"JORr111",960.654481917085,10039.641068007,41296.3085531726,59590.1041323238,53618.5361194651,7449.69934511446
"JORr112",849.211885337377,12836.409538546,55252.054210589,78775.2113444508,46087.2234314196,2121.90318965719
"KENr101",382319.269363537,561429.611238555,1697483.2924653,1024370.85563491,473662.652972836,38652.1473248583
"KENr102",302074.70120997,473872.402782481,2032400.97446034,1490350.00191194,500094.799355073,49221.6462801985
"KENr103",239360.910328621,281369.106497898,890381.592658933,1044395.27199395,1181304.55393956,385174.659581038
"KENr104",257601.199970171,371541.257601072,1891618.27418553,2171873.82668269,1580829.89604655,233644.252513984
"KENr105",176806.333569801,274325.877247586,1468746.07211971,2133059.45354118,2022046.09280286,172336.376718856
"KENr106",554799.399333732,685240.264236121,3149740.21328501,3849700.58256502,3699386.67654142,518842.624038693
"KENr107",121307.291915181,217043.082329421,1049850.60134335,1524477.4717687,1864091.30683885,228975.387804504
"KENr108",35092.3669800968,99789.9166805795,446456.252983105,1007322.39705172,1669867.40313832,447242.179166176
"LSOr101",4545.82968428563,7383.0440567655,34495.8901527502,38447.4291538958,32689.8175904311,5703.63156187179
"LSOr102",8966.58715342825,20940.7308397849,93966.1431122576,90154.1818231177,92327.1189328509,16706.0115385607
"LSOr103",9942.64126241417,22771.0140724695,92204.4589679184,92374.9774906916,75831.1637928463,13199.65001366
"LSOr104",21066.5645408389,47010.3076185606,157933.803993864,148677.955556333,97140.3323128616,15802.579677542
"LSOr105",7272.76119976562,15811.7149206893,60734.9486231533,66671.7458048481,54601.9857465914,4203.87850495228
"LSOr106",4663.31563384098,7056.12035976285,42223.4855299166,56172.4613207753,61175.7125658447,11540.1868898596
"LSOr107",2512.57548617117,6044.97837064621,27927.6516842869,41030.396519224,44156.3746967233,15970.9159429484
"LSOr108",2994.13339938673,5806.30955432671,22223.9734505771,25162.2735105498,18136.7806504369,5641.7066947228
"LSOr109",2244.58581248807,4068.0988756688,27461.8339589378,36955.8568060769,43591.7391468518,8433.05059997665
"LSOr110",2886.58714091545,6055.68921023614,37130.0303515347,46525.3574608269,41859.2556668389,9067.61906964797
"LBRr101",3216.28202061147,8746.68204615488,34622.8535821744,48058.952040892,69676.0512505188,8955.83555964856
"LBRr102",7711.57322081353,18456.7158963127,98849.2466941327,138774.917461714,117282.688380975,13573.5479460519
"LBRr103",1823.54210572985,3863.52006810486,22357.368385475,28826.0758537084,37528.0613742847,8181.53791269731
"LBRr104",8185.46626055924,16655.1030593155,66508.2189998795,78389.0432632662,68333.1104829395,24707.8828340401
"LBRr105",2368.39090857871,4998.26437235752,28095.502371102,55092.951918345,57172.3669882655,19780.1029413512
"LBRr106",2407.29518029557,7763.32803832693,27667.2306534715,46946.005895701,64659.7326958307,16996.3372363743
"LBRr107",234.360366281933,1741.64046191176,9025.40653571592,12734.0632960676,28328.5952709682,10203.4216590545
"LBRr108",6259.53147991485,12757.4658533638,79933.5095142242,120963.84391012,118826.76468977,27058.2568526071
"LBRr109",9128.74931675171,21076.2311781566,73952.3407747574,102070.14500383,148718.831584273,58401.5473422321
"LBRr110",1729.41233215813,4963.22979276781,26465.1547396291,35499.991830523,71034.6125957286,30622.6749091934
"LBRr111",36054.497763522,68466.3226041933,294077.857041934,391017.057150781,390149.37608255,190590.699357021
"LBRr112",2900.74706438658,13868.353860018,88260.4210036636,142780.598183865,247311.11620939,97687.0784786763
"LBRr113",1642.32774032102,3383.73140620331,18583.5235971892,27436.9317001479,36200.7316541098,10201.9592620288
"LBRr114",1250.43501828178,4406.77051248036,16927.8588598265,29245.8044586937,40025.5210961344,13123.7373545832
"LBRr115",1503.31961556551,4852.76110899743,24725.9662213945,28835.1149171606,41452.2747344159,18367.7947024661
"MWIr101",27839.8857056577,60200.1912366113,397315.974766519,437270.68042547,260735.101949906,23276.6779158362
"MWIr102",10809.3598825066,34253.7274476481,172010.573722687,295376.442213954,259737.03164994,30931.5166832655
"MWIr103",5974.40058779778,28947.2557089835,165354.007979003,240536.482300137,206814.130330135,5267.10649394311
"MWIr104",11753.6122628713,43742.425137135,241296.104357829,355297.101064749,329661.526123524,46136.5310538921
"MWIr105",11926.8912436268,47372.2146414614,224944.300081373,397346.997985581,394977.693347342,61827.0827006157
"MWIr106",5067.33472419556,15216.8448528891,103283.719416971,156861.474689687,163289.928408639,8227.21700761824
"MWIr107",15358.2577578975,40957.1380367609,258916.549409445,288800.410835086,150114.995708383,5764.09625242672
"MWIr108",15279.8379385463,46052.955367811,243187.131256189,310272.462170104,181128.316953746,18539.1688136046
"MWIr109",28419.7614514783,130264.880447294,802653.629641865,921099.041290257,643007.155614055,70294.6165550514
"MWIr110",10583.5619289374,35242.0221882741,173598.574039016,254064.008924044,158716.04952746,13788.3404922683
"MWIr111",14880.5030792798,34404.6503343467,234010.810311516,390503.854182168,367655.520995321,49475.2590973679
"MWIr112",41647.4573495044,164727.868926366,946736.876628421,1305933.59170379,918864.635199377,64016.5981925402
"MWIr113",31028.4538145463,103465.043968711,628188.699099875,876821.954885051,613142.866182304,20608.2090495123
"MDVr101",461.70430423063,4687.51372710253,31231.5255678263,48320.4274892671,60851.2900780907,34817.5388334828
