"GDLcode","shdi","ISOcode","LISDHS","Population","X1est","X2est","X3est","X4est","X5est","X6est","X7est","X8est"
"MMRr109",0.601495882,"MMR","DHS",7214599.26,97388.8320534776,185159.859663391,2840937.66393703,410102.947194469,148865.888041745,2646258.10252397,681820.025209086,204065.94137683
"MMRr110",0.607556944,"MMR","DHS",2047137.03,27756.3673024632,54157.0917385812,810068.839914209,115006.581650673,42341.697043312,747621.208796778,192592.647453073,57592.5961009118
"MMRr111",0.545238904,"MMR","DHS",1949537.859,23063.3503101079,40550.7497169674,772251.811316382,116901.305669407,39808.473969012,714793.170375128,186859.336190121,55309.6614528744
"MMRr112",0.665380264,"MMR","DHS",7572436.374,116863.594285839,256910.677158162,3179037.06383228,375829.702363089,163258.227271546,2593892.27304604,681997.450079278,204647.385963766
"MMRr113",0.510321489,"MMR","DHS",6047085.466,77267.6633244361,104823.99434996,2492271.34426909,418206.666022501,129796.129919029,2042637.35511535,581582.302993541,200500.010006092
"MMRr114",0.559991611,"MMR","DHS",6267412.947,74718.2851816346,134354.406717748,2453055.58436078,376175.392508733,128020.622214754,2329345.28910568,595704.29834925,176039.068561421
"MNEr101",0.790208779,"MNE","LIS",168998.069,7196.78515798526,22394.5372032118,81722.6417264714,6071.50006846624,3083.9064827662,39635.1453537854,5833.44085222035,3060.11215509332
"MNEr102",0.829063221,"MNE","LIS",310058.5065,13203.845883507,41086.9591591993,149935.442404045,11139.3003161669,5658.00215286575,72718.07332488,10702.5362425622,5614.34701677408
"MNEr103",0.818007228,"MNE","LIS",139238.6856,5929.48139510077,18451.0151106846,67331.8534648676,5002.35117570219,2540.8520210588,32655.672193663,4806.21253008818,2521.24770883493
"MNGr101",0.677016251,"MNG","LIS",343035.9281,14608.1898486413,45456.9149773761,165882.382072803,12324.0618858523,6259.77994156435,80452.2735216235,11840.8441504611,6211.48170167866
"MNGr102",0.65705924,"MNG","LIS",536555.6677,22849.2306958622,71100.9062588863,259463.003673461,19276.5384388889,9791.16218177011,125838.490377585,18520.7190234319,9715.61705011541
"MNGr103",0.72965822,"MNG","LIS",479965.4034,20439.3334904645,63601.9283906484,232097.567358356,17243.4513414738,8758.49308697576,112566.366237873,16567.3478307375,8690.91566347192
"MNGr104",0.68848421,"MNG","LIS",193369.4559,8234.64101373138,25624.0766521266,93507.9486935345,6947.07739374306,3528.63983681957,45350.9707946953,6674.687410888,3501.41410446158
"MNGr105",0.809818829,"MNG","LIS",1411233.994,60097.4195892348,187007.652620399,682432.4725502,50700.6224502653,25752.4460992311,330976.944360194,48712.6869635516,25553.749366925
"MOZr101",0.414881675,"MOZ","DHS",1706778.301,17699.3727258193,51131.1203418277,724974.479484387,89578.6349028408,32387.9749413309,606331.35191457,146103.029132945,38572.3375562793
